Profile,Station,X,Y,K1,K2,K3,Combined_Anomaly
1,2,2,0,1,64,64,129
1,3,3,0,1,4,64,69
1,4,4,0,3,64,64,131
2,2,2,100,1,64,64,129
2,3,3,100,1,4,64,69
2,4,4,100,3,64,64,131
2,7,7,100,27,16,4,47
3,3,3,200,3,16,64,83
3,8,8,200,27,16,16,59
3,9,9,200,9,64,64,137
3,17,17,200,3,4,64,71
3,18,18,200,9,4,64,77
3,27,27,200,81,16,64,161
3,28,28,200,27,64,64,155
3,30,30,200,3,16,64,83
3,44,44,200,3,16,64,83
3,45,45,200,3,4,64,71
3,46,46,200,3,1,64,68
3,47,47,200,3,1,64,68
3,48,48,200,27,1,16,44
3,57,57,200,27,16,1,44
3,58,58,200,27,16,4,47
3,60,60,200,9,64,64,137
