id,x,y,rock_type,Ni,Cr,Co,Cu,V,Nearest_Combined_Anomaly,Distance_to_Nearest_Anomaly,Anomaly_Quartile
1,10,20,pyroxenite,3.4,4.0,5.18,3.43,3.57,131,20.8806130178211,"(46.999, 131.0]"
2,15,25,pyroxenite,3.2,3.8,4.9,3.2,3.2,131,27.313000567495326,"(46.999, 131.0]"
3,20,30,lamprophyre,2.13,2.58,3.48,2.4,2.52,131,34.0,"(46.999, 131.0]"
4,25,35,lamprophyre,2.0,2.4,3.2,2.2,2.3,131,40.8166632639171,"(46.999, 131.0]"
5,40,60,gabbro,0.48,0.7,1.46,0.78,0.7,47,51.85556864985669,"(46.999, 131.0]"
6,45,65,gabbro,0.5,0.8,1.5,0.8,0.75,47,51.66236541235796,"(46.999, 131.0]"
7,60,20,diabase,1.05,1.26,1.7,1.12,1.36,131,59.464274989274024,"(46.999, 131.0]"
8,65,25,diabase,1.1,1.3,1.6,1.2,1.4,131,65.92419889539804,"(46.999, 131.0]"
9,70,80,kimberlite,1.25,1.48,1.48,0.8,1.47,47,66.09841147864296,"(46.999, 131.0]"
10,75,85,kimberlite,4.01,3.47,2.72,0.83,1.05,47,69.63476143421474,"(46.999, 131.0]"
